10000000,10000000,1/19/1974,Female,Caucasian,no,no,yes,public
10000001,10000001,4/16/1980,Female,Caucasian,no,no,yes,private
10000002,10000002,5/3/1962,Male,Caucasian,no,yes,yes,none
10000003,10000003,2/22/1931,Female,Caucasian,no,no,yes,private
10000004,10000004,4/15/2008,Male,Hispanic,no,no,yes,private
10000005,10000005,9/6/1977,Male,Caucasian,yes,no,yes,private
10000006,10000006,4/6/1969,Male,Caucasian,no,no,yes,private
10000007,10000007,4/1/1936,Female,Caucasian,no,no,yes,none
10000008,10000008,10/17/1996,Female,Caucasian,no,no,yes,none
10000009,10000009,11/4/2005,Male,African American,no,no,yes,public
10000010,10000010,3/25/2018,Male,African American,no,no,yes,none
10000011,10000011,3/9/1979,Male,Caucasian,no,no,yes,none
10000012,10000012,9/8/1952,Female,Caucasian,no,no,yes,none
10000013,10000013,10/10/1938,Female,Caucasian,no,no,yes,private
10000014,10000014,2/24/1923,Male,Caucasian,no,no,yes,private
10000015,10000015,4/21/1948,Female,Hispanic,no,no,yes,public
10000016,10000016,5/14/1997,Female,Caucasian,yes,no,yes,none
10000017,10000017,1/3/1980,Female,African American,no,no,yes,private
10000018,10000018,1/22/2014,Female,African American,no,no,yes,none
10000019,10000019,1/16/1997,Male,Caucasian,no,no,yes,private
10000020,10000020,5/23/1947,Male,Caucasian,no,no,no,private
10000021,10000021,10/23/2019,Female,African American,no,no,yes,private
10000022,10000022,8/9/1978,Male,African American,no,no,yes,none
10000023,10000023,1/17/1980,Male,African American,no,no,yes,private
10000024,10000024,4/8/2013,Male,Hispanic,no,no,yes,public
10000025,10000025,8/13/1942,Female,Caucasian,no,no,yes,none
10000026,10000026,7/10/1999,Female,Caucasian,no,no,yes,public
10000027,10000027,2/14/1935,Male,Asian,no,no,yes,none
10000028,10000028,8/5/1997,Female,Caucasian,no,no,yes,private
10000029,10000029,11/25/1945,Male,Asian,no,no,yes,private
10000030,10000030,6/10/1924,Female,Caucasian,no,no,yes,private
10000031,10000031,8/13/1936,Female,Hispanic,no,no,yes,private
10000032,10000032,4/19/1940,Male,Caucasian,no,no,yes,public
10000033,10000033,9/12/1930,Female,Caucasian,no,no,yes,private
10000034,10000034,4/2/1972,Male,African American,no,no,yes,private
10000035,10000035,11/20/2015,Female,Caucasian,no,no,yes,private
10000036,10000036,8/6/1961,Male,Caucasian,no,no,yes,private
10000037,10000037,6/3/2019,Male,Hispanic,no,no,yes,private
10000038,10000038,1/22/1981,Male,Caucasian,no,no,yes,private
10000039,10000039,2/22/1939,Female,Hispanic,no,no,yes,public
10000040,10000040,2/14/1920,Female,African American,no,no,yes,public
10000041,10000041,5/26/2019,Female,Hispanic,no,no,no,private
