10000000,10000000,10/25/2021,7,4,7,6,6
10000001,10000001,05/20/2021,8,3,9,5,7
10000002,10000002,03/04/2021,10,8,5,7,2
10000003,10000003,10/20/2021,1,5,8,9,7
10000004,10000004,08/16/2021,6,8,9,3,8
10000005,10000005,12/26/2021,9,8,5,4,7
10000006,10000006,04/26/2021,9,9,7,4,4
10000007,10000007,05/16/2021,5,6,3,8,2
10000008,10000008,11/08/2021,4,8,9,6,3
10000009,10000009,07/29/2021,5,7,6,10,5
10000010,10000010,09/25/2021,5,2,9,5,5
10000011,10000011,05/15/2021,3,8,5,8,10
10000012,10000012,05/09/2021,4,5,8,9,6
10000013,10000013,02/12/2021,4,6,10,5,2
10000014,10000014,05/22/2021,8,8,2,5,9
10000015,10000015,05/28/2021,5,2,8,4,5
10000016,10000016,03/25/2021,8,1,3,7,7
10000017,10000017,12/17/2021,7,8,4,2,2
10000018,10000018,10/06/2021,5,3,4,4,5
10000019,10000019,07/31/2021,8,10,9,7,2
10000020,10000020,05/17/2021,4,7,10,8,4
10000021,10000021,09/30/2021,7,6,8,8,7
10000022,10000022,06/03/2021,10,9,10,3,5
10000023,10000023,12/30/2021,10,8,8,4,1
10000024,10000024,10/21/2021,4,6,3,6,3
10000025,10000025,11/13/2021,6,6,9,5,3
10000026,10000026,04/26/2021,7,9,5,7,5
10000027,10000027,09/26/2021,7,3,8,3,6
10000028,10000028,11/16/2021,6,8,5,9,4
10000029,10000029,06/08/2021,6,6,8,5,7
10000030,10000030,04/20/2021,8,2,7,5,9
10000031,10000031,01/10/2021,4,9,7,6,5
10000032,10000032,08/19/2021,6,9,9,5,8
10000033,10000033,08/08/2021,3,4,4,6,5
10000034,10000034,04/26/2021,6,5,8,9,5
10000035,10000035,09/22/2021,4,7,8,4,4
10000036,10000036,08/16/2021,10,9,4,4,10
10000037,10000037,02/09/2021,7,8,6,2,3
10000038,10000038,03/14/2021,7,4,8,7,3
10000039,10000039,01/08/2021,10,1,4,5,4
10000040,10000040,05/25/2021,7,3,5,5,5
10000041,10000041,05/11/2021,1,7,6,5,3
